spacing_angstrom,unconstrained_energy_ev,constrained_energy_ev,ionic_constrained_energy_ev,unconstrained_electrostatic_energy_ev,constrained_electrostatic_energy_ev,ionic_constrained_electrostatic_energy_ev,unconstrained_first_region_charge_e,unconstrained_second_region_charge_e,constrained_first_region_charge_e,constrained_second_region_charge_e,ionic_constrained_first_region_charge_e,ionic_constrained_second_region_charge_e,electronic_coupling_ev,u1_energy_ev,cross_fragment_edges
7.7,-26859.860576795083,-26859.83496301912,-26858.74723289889,-1.9695122967621963,-1.9490953399694442,-0.5679246866502068,0.012678579675331217,-0.012678579675331092,-1.6653345369377348e-16,-5.551115123125783e-17,1.0,-0.9999999999999999,0.16886959799879,-26858.721619122927,0
7.8,-26859.860285371393,-26859.83464116834,-26858.73173988398,-1.9692208730749436,-1.94877348919349,-0.5524316717384723,0.012678579675331245,-0.012678579675331397,1.8041124150158794e-16,0.0,1.0,-0.9999999999999999,0.1701195157290264,-26858.70609568093,0
7.9,-26859.860009012034,-26859.83433548853,-26858.716516959455,-1.968944513713041,-1.948467809378462,-0.5372087472126235,0.012678579675331425,-0.012678579675331453,-1.3877787807814457e-17,-8.326672684688674e-17,1.0,-0.9999999999999999,0.17134021737452446,-26858.69084343595,0
8.0,-26859.859746865797,-26859.834045082793,-26858.701557648783,-1.9686823674768479,-1.9481774036433503,-0.5222494365416431,0.012678579675331217,-0.01267857967533123,6.938893903907228e-17,2.7755575615628914e-17,1.0,-1.0,0.17253268656642612,-26858.675855865775,0
8.1,-26859.85949813324,-26859.833769108085,-26858.68685567105,-1.9684336349196727,-1.9479014289375134,-0.5075474588075785,0.012678579675331217,-0.012678579675331425,-4.163336342344337e-17,-5.551115123125783e-17,1.0,-1.0000000000000002,0.17369786241090637,-26858.661126645897,0
8.2,-26859.85926206332,-26859.833506771745,-26858.672404933608,-1.9681975650025647,-1.9476390925950722,-0.49309672136427246,0.012678579675331259,-0.012678579675331314,2.7755575615628914e-17,0.0,0.9999999999999999,-1.0,0.17483664213827468,-26858.646649642033,0
8.3,-26859.859037950297,-26859.83325732827,-26858.658199525093,-1.9679734519771237,-1.9473896491222173,-0.47889131285085795,0.012678579675331453,-0.012678579675331508,-1.3877787807814457e-17,-5.551115123125783e-17,1.0,-1.0000000000000002,0.17594988364166184,-26858.632418903067,0
8.4,-26859.8588251308,-26859.833020076352,-26858.64423370878,-1.9677606324799966,-1.9471523972009175,-0.46492549653705806,0.012678579675331411,-0.012678579675331314,1.3877787807814457e-17,-1.1102230246251565e-16,0.9999999999999999,-1.0,0.17703840763018122,-26858.618428654332,0
8.5,-26859.858622981144,-26859.832794356043,-26858.63050191622,-1.9675584828239099,-1.9469266768936413,-0.45119370397924574,0.01267857967533123,-0.012678579675331286,1.3877787807814457e-16,0.0,1.0,-1.0,0.1781029998751585,-26858.60467329112,0
8.6,-26859.858430914792,-26859.832579546186,-26858.61699874121,-1.9673664164712967,-1.9467118670349397,-0.437690528968047,0.012678579675331508,-0.012678579675331675,6.938893903907228e-17,-1.1102230246251565e-16,1.0,-1.0,0.1791444130257822,-26858.59114737261,0
8.7,-26859.85824838,-26859.832375061946,-26858.60371893399,-1.9671838816775826,-1.9465073827967545,-0.4244107217497457,0.01267857967533148,-0.012678579675331453,8.326672684688674e-17,0.0,0.9999999999999998,-0.9999999999999999,0.18016336853786807,-26858.57784561594,0
8.8,-26859.858074857613,-26859.832180352565,-26858.590657395747,-1.967010359292178,-1.946312673415315,-0.4113491835052407,0.012678579675331494,-0.01267857967533148,-8.326672684688674e-17,0.0,0.9999999999999999,-0.9999999999999999,0.18116055824727803,-26858.564762890695,0
8.9,-26859.857909859027,-26859.831994899218,-26858.577809173315,-1.966845360706094,-1.9461272200683357,-0.3985009610715633,0.01267857967533137,-0.012678579675331647,-8.326672684688674e-17,5.551115123125783e-17,0.9999999999999999,-1.0,0.182136646017367,-26858.55189421351,0
9.0,-26859.857752924254,-26859.831818213042,-26858.565169454134,-1.9666884259359456,-1.9459505338921268,-0.3858612418920663,0.01267857967533148,-0.01267857967533137,-2.7755575615628914e-17,-5.551115123125783e-17,0.9999999999999999,-1.0000000000000002,0.1830922691274924,-26858.539234742922,0
9.1,-26859.857603620156,-26859.83164983328,-26858.552733561424,-1.9665391218348294,-1.945782154128881,-0.3734253491824769,0.012678579675331356,-0.01267857967533148,-1.249000902703301e-16,0.0,1.0,-1.0,0.18402803972872736,-26858.526779774547,0
9.2,-26859.85746153874,-26859.831489325545,-26858.540496949543,-1.966397040421258,-1.9456216463952276,-0.3611887373009714,0.012678579675331508,-0.01267857967533148,-8.326672684688674e-17,-1.1102230246251565e-16,1.0,-1.0,0.18494454596480422,-26858.514524736347,0
9.3,-26859.857326295638,-26859.831336280215,-26858.528455199554,-1.966261797318012,-1.9454686010636837,-0.34914698731123806,0.012678579675331328,-0.012678579675331314,4.163336342344337e-17,5.551115123125783e-17,0.9999999999999999,-1.0,0.18584235330734078,-26858.50246518413,0
9.4,-26859.857197528614,-26859.8311903109,-26858.51660401497,-1.966133030293309,-1.9453226317492995,-0.33729580272828996,0.01267857967533148,-0.012678579675331536,-1.3877787807814457e-17,0.0,1.0,-1.0,0.18672200560446064,-26858.490596797255,0
9.5,-26859.857074896216,-26859.831051053043,-26858.50493921768,-1.9660103978972492,-1.9451833738943098,-0.32563100543748186,0.012678579675331425,-0.01267857967533137,2.220446049250313e-16,1.1102230246251565e-16,1.0,-1.0,0.18758402609670466,-26858.478915374508,0
9.6,-26859.856958076507,-26859.830918162592,-26858.49345674402,-1.965893578187058,-1.94505048344413,-0.31414853177789653,0.01267857967533123,-0.012678579675331314,5.551115123125783e-17,5.551115123125783e-17,1.0,-1.0000000000000002,0.18842891848420115,-26858.467416830106,0
9.7,-26859.856846765855,-26859.83079131476,-26858.482152641023,-1.9657822675350038,-1.9449236356085058,-0.3028444287817606,0.012678579675331342,-0.012678579675331453,6.938893903907228e-17,-1.1102230246251565e-16,0.9999999999999999,-1.0,0.1892571677447504,-26858.456097189926,0
9.8,-26859.856740677835,-26859.830670202853,-26858.471023062804,-1.965676179513413,-1.9448025237020876,-0.29171485056217517,0.012678579675331314,-0.012678579675331203,-1.1102230246251565e-16,-5.551115123125783e-17,0.9999999999999998,-1.0,0.19006924110524534,-26858.444952587823,0
9.9,-26859.85663954217,-26859.83055453721,-26858.460064267085,-1.9655750438515367,-1.9446868580590477,-0.2807560548418859,0.012678579675331536,-0.012678579675331314,-1.5265566588595902e-16,5.551115123125783e-17,1.0000000000000004,-0.9999999999999999,0.1908655887724394,-26858.433979262125,0
10.0,-26859.85654310378,-26859.830444044168,-26858.44927261186,-1.9654786054593965,-1.944576365016783,-0.269964399616298,0.012678579675331453,-0.012678579675331536,8.326672684688674e-17,1.1102230246251565e-16,0.9999999999999999,-0.9999999999999999,0.19164664478413912,-26858.423173552248,0
