adapter_radius_angstrom,case,spacing_angstrom,cross_fragment_edges,energy_ev,electrostatic_energy_ev,first_region_charge_e
10.0,neutral_regional,6.0,480,-26859.844131293474,-1.958263614325179,-3.3306690738754696e-16
10.0,neutral_regional,6.2,480,-26859.842557430893,-1.9566897517434008,-3.3306690738754696e-16
10.0,ionic_regional,5.0,480,-26857.90541751832,-1.1443014988002356,1.0000000000000002
10.0,ionic_regional,5.2,480,-26857.853335184078,-1.0950361328302745,1.0
10.0,ionic_regional,5.4,480,-26857.92532767924,-1.0424300578187922,1.0
10.0,ionic_regional,5.5,480,-26858.153658676143,-1.0112011369409577,1.0
10.0,ionic_regional,5.6,480,-26858.549356637806,-0.9817343015191593,0.9999999999999998
10.0,ionic_regional,5.8,480,-26859.04502442774,-0.9271051641691612,1.0
10.0,ionic_regional,6.0,480,-26859.059345008696,-0.8800367964546942,0.9999999999999997
10.0,ionic_regional,6.2,480,-26859.01714422757,-0.8378360153270297,0.9999999999999997
