scenario,adapter_radius_angstrom,internal_cutoff_angstrom,case,spacing_angstrom,energy_ev,electrostatic_energy_ev,first_region_charge_e
adapter10_internal6,10.0,6.0,total_charge,6.0,-26859.869001638417,-1.977937196686931,0.012678579675331425
adapter10_internal6,10.0,6.0,total_charge,6.5,-26859.86564739045,-1.97458294871933,0.012678579675331536
adapter10_internal6,10.0,6.0,total_charge,7.0,-26859.863122662926,-1.9720582211966755,0.012678579675331411
adapter10_internal6,10.0,6.0,neutral_regional,2.5,-26858.654575029745,-1.8800081460730087,1.3877787807814457e-16
adapter10_internal6,10.0,6.0,neutral_regional,3.0,-26860.2578551047,-1.95406092544882,6.938893903907228e-17
adapter10_internal6,10.0,6.0,neutral_regional,3.5,-26860.30797514666,-1.967445794207537,0.0
adapter10_internal6,10.0,6.0,neutral_regional,4.0,-26860.151487761264,-1.9699840430709181,-6.938893903907228e-17
adapter10_internal6,10.0,6.0,neutral_regional,4.5,-26860.029730197104,-1.9692787910957785,2.0816681711721685e-16
adapter10_internal6,10.0,6.0,neutral_regional,5.0,-26859.94693591793,-1.976185388999196,-8.326672684688674e-17
adapter10_internal6,10.0,6.0,neutral_regional,5.5,-26859.872666885498,-1.9634742285906228,5.551115123125783e-17
adapter10_internal6,10.0,6.0,neutral_regional,6.0,-26859.844131236885,-1.9582636143251677,0.0
adapter10_internal6,10.0,6.0,neutral_regional,6.5,-26859.8405050278,-1.9546374052413633,2.7755575615628914e-17
adapter10_internal6,10.0,6.0,neutral_regional,7.0,-26859.83775718721,-1.951889564651046,1.249000902703301e-16
adapter10_internal6,10.0,6.0,ionic_regional,2.5,-26858.251447933835,-1.769735412490025,1.0
adapter10_internal6,10.0,6.0,ionic_regional,3.0,-26859.33543069601,-1.6644310640033426,1.0
adapter10_internal6,10.0,6.0,ionic_regional,3.5,-26858.938595964617,-1.5280349580552388,0.9999999999999998
adapter10_internal6,10.0,6.0,ionic_regional,4.0,-26858.471785979833,-1.3869791225829529,1.0
adapter10_internal6,10.0,6.0,ionic_regional,4.5,-26858.151557570363,-1.2543711204416443,1.0
adapter10_internal6,10.0,6.0,ionic_regional,5.0,-26857.905417461727,-1.1443014988002231,1.0
adapter10_internal6,10.0,6.0,ionic_regional,5.5,-26858.15365861955,-1.0112011369409406,1.0
adapter10_internal6,10.0,6.0,ionic_regional,6.0,-26859.059344952107,-0.8800367964546797,0.9999999999999999
adapter10_internal6,10.0,6.0,ionic_regional,6.5,-26858.95687792151,-0.7775697658595531,1.0
adapter10_internal6,10.0,6.0,ionic_regional,7.0,-26858.863835350832,-0.6845271951787428,1.0
adapter10_internal10,10.0,10.0,total_charge,2.5,-26782.668500877182,-0.3032590929709007,0.02197541589785912
adapter10_internal10,10.0,10.0,total_charge,3.0,-26779.403828893388,-0.2234596859047266,0.03550348944454704
adapter10_internal10,10.0,10.0,total_charge,3.5,-26778.272001660644,-0.24710121616980055,0.11877644011148351
adapter10_internal10,10.0,10.0,total_charge,4.0,-26762.118324835377,-0.18665966425296365,0.24656364203619285
adapter10_internal10,10.0,10.0,total_charge,4.5,-26749.947761122567,-0.04353327807158233,0.3324580476356853
adapter10_internal10,10.0,10.0,total_charge,5.0,-26723.161369597157,-0.03756925188243938,0.19860074219854126
adapter10_internal10,10.0,10.0,total_charge,5.5,-26686.920346975716,-0.1320184440191413,0.06674485537880351
adapter10_internal10,10.0,10.0,total_charge,6.0,-26658.44409164002,-0.07107587882570865,-0.0793308088652746
adapter10_internal10,10.0,10.0,total_charge,6.5,-26645.04447889509,0.01312776732979858,-0.18579100757966882
