spacing_angstrom,unconstrained_energy_ev,constrained_energy_ev,ionic_constrained_energy_ev,unconstrained_electrostatic_energy_ev,constrained_electrostatic_energy_ev,ionic_constrained_electrostatic_energy_ev,unconstrained_first_region_charge_e,unconstrained_second_region_charge_e,constrained_first_region_charge_e,constrained_second_region_charge_e,ionic_constrained_first_region_charge_e,ionic_constrained_second_region_charge_e,electronic_coupling_ev,u1_energy_ev,d3_dispersion_energy_ev,unconstrained_energy_plus_d3_ev,constrained_energy_plus_d3_ev,ionic_constrained_energy_plus_d3_ev,u1_energy_plus_d3_ev
5.3,-26859.91315540864,-26859.90343623833,-26857.86530854615,-2.0008535872186046,-1.971268390467678,-1.0707002826225487,0.019471395412127057,-0.019471395412127085,2.220446049250313e-16,-6.938893903907228e-17,1.0,-1.0,0.14107931253389328,-26857.85558937584,-0.4028140902519226,-26860.315969498894,-26860.306250328584,-26858.2681226364,-26858.25840346609
5.4,-26859.89847727121,-26859.888006412388,-26857.92532767924,-1.9932699976803006,-1.9669939060628123,-1.042430057818793,0.01716768437144091,-0.0171676843714412,-9.71445146547012e-17,-1.249000902703301e-16,0.9999999999999998,-1.0000000000000002,0.14373785448842658,-26857.91485682042,-0.4020353853702545,-26860.30051265658,-26860.290041797758,-26858.32736306461,-26858.31689220579
5.5,-26859.88606923098,-26859.87266694209,-26858.153658676143,-1.9866681134446216,-1.9634742285906353,-1.0112011369409575,0.015091869543232328,-0.015091869543232356,-1.6653345369377348e-16,-9.71445146547012e-17,1.0,-1.0,0.15237541379711164,-26858.140256387254,-0.40134215354919434,-26860.28741138453,-26860.27400909564,-26858.555000829692,-26858.541598540804
5.6,-26859.879526014014,-26859.86147295066,-26858.549356637806,-1.9846212896706605,-1.9636809851958263,-0.9817343015191599,0.013605425692299652,-0.013605425692299417,2.7755575615628914e-17,-5.551115123125783e-17,1.0,-1.0,0.1549633247636441,-26858.53130357445,-0.4007243812084198,-26860.280250395223,-26860.262197331867,-26858.950081019015,-26858.93202795566
5.7,-26859.87472043983,-26859.853158800954,-26858.87711151898,-1.9834733428920694,-1.9638305159393001,-0.9545614618410628,0.012742218928938245,-0.012742218928938287,1.249000902703301e-16,5.551115123125783e-17,1.0,-1.0,0.14666316269807758,-26858.855549880107,-0.4001731276512146,-26860.274893567483,-26860.253331928605,-26859.277284646632,-26859.25572300776
5.8,-26859.871765354565,-26859.84775495348,-26859.04502442774,-1.9811432374914393,-1.9615546445423917,-0.927105164169161,0.012691594646487905,-0.012691594646487891,1.1102230246251565e-16,-8.326672684688674e-17,0.9999999999999999,-1.0,0.14089138102100976,-26859.021014026657,-0.3996807038784027,-26860.271446058443,-26860.24743565736,-26859.44470513162,-26859.420694730536
5.9,-26859.86989299457,-26859.84514842588,-26859.077531240197,-1.9788506963171315,-1.9592508207596397,-0.9020242644495635,0.012669404893574848,-0.012669404893574793,0.0,1.3877787807814457e-16,1.0,-0.9999999999999999,0.1400237474830821,-26859.052786671506,-0.3992402255535126,-26860.269133220125,-26860.244388651434,-26859.47677146575,-26859.45202689706
6.0,-26859.869001695006,-26859.844131293474,-26859.059345008696,-1.9779371966869437,-1.9582636143251797,-0.8800367964546939,0.012678579675332147,-0.012678579675332424,-1.8041124150158794e-16,-5.551115123125783e-17,1.0,-1.0,0.1419030897890107,-26859.034474607164,-0.39884576201438904,-26860.26784745702,-26860.242977055488,-26859.45819077071,-26859.43332036918
6.1,-26859.868251315875,-26859.843322067914,-26859.038034796777,-1.9771868175568375,-1.9574543887633185,-0.8587265845322317,0.01267857967533241,-0.012678579675332313,1.3877787807814457e-16,0.0,1.0,-1.0,0.14386338472761545,-26859.013105548816,-0.3984919786453247,-26860.26674329452,-26860.24181404656,-26859.436526775422,-26859.41159752746
6.2,-26859.867543198274,-26859.842557430893,-26859.01714422757,-1.976478699953312,-1.9566897517434008,-0.8378360153270298,0.012678579675332036,-0.01267857967533223,4.163336342344337e-17,5.551115123125783e-17,0.9999999999999998,-1.0,0.1457664943077354,-26858.99215846019,-0.39817431569099426,-26860.265717513965,-26860.240731746584,-26859.415318543262,-26859.39033277588
6.3,-26859.86687476225,-26859.841834700197,-26858.99666185654,-1.9758102639310378,-1.9559670210492373,-0.8173536442990005,0.012678579675332063,-0.01267857967533223,-2.0816681711721685e-16,0.0,0.9999999999999999,-1.0,0.14761498961376043,-26858.971621794488,-0.3978886008262634,-26860.264763363077,-26860.239723301023,-26859.394550457368,-26859.369510395314
6.4,-26859.866243596596,-26859.84115136711,-26858.97657665273,-1.9751790982774655,-1.9552836879606115,-0.7972684404882496,0.012678579675331966,-0.012678579675332313,-3.0531133177191805e-16,0.0,0.9999999999999998,-1.0,0.1494112683924729,-26858.951484423247,-0.39763152599334717,-26860.26387512259,-26860.238782893102,-26859.374208178724,-26859.34911594924
6.5,-26859.865647447037,-26859.84050508439,-26858.956877978104,-1.97458294871934,-1.9546374052413718,-0.7775697658595669,0.012678579675332063,-0.012678579675332063,-2.0816681711721685e-16,-2.7755575615628914e-17,0.9999999999999999,-1.0,0.15115757192522436,-26858.931735615457,-0.3973996043205261,-26860.263047051358,-26860.23790468871,-26859.354277582424,-26859.329135219778
6.6,-26859.86508420534,-26859.83989365518,-26858.937555568365,-1.9740197070215593,-1.9540259760280572,-0.7582473561241883,0.012678579675332008,-0.012678579675332008,-2.3592239273284576e-16,2.7755575615628914e-17,1.0,-1.0,0.15285599973627137,-26858.91236501821,-0.3971903324127197,-26860.262274537752,-26860.23708398759,-26859.33474590078,-26859.30955535062
6.7,-26859.864551899223,-26859.83931502269,-26858.91859951514,-1.9734874009025507,-1.953447343543236,-0.7392913028960773,0.0126785796753318,-0.012678579675331897,-1.249000902703301e-16,-5.551115123125783e-17,1.0,-1.0,0.15450852249174163,-26858.893362638606,-0.397001177072525,-26860.261553076296,-26860.236316199764,-26859.31560069221,-26859.29036381568
6.8,-26859.86404868302,-26859.838767260713,-26858.9000002493,-1.972984184698011,-1.952899581565327,-0.7206920370567624,0.012678579675332216,-0.012678579675332174,-5.551115123125783e-17,1.6653345369377348e-16,0.9999999999999999,-1.0000000000000002,0.15611699323301076,-26858.874718827,-0.3968299925327301,-26860.26087867555,-26860.235597253246,-26859.296830241834,-26859.27154881953
6.9,-26859.863572829032,-26859.83824856474,-26858.88174852546,-1.9725083307115487,-1.9523808855933762,-0.7024403132173213,0.012678579675332105,-0.012678579675332091,1.8041124150158794e-16,-5.551115123125783e-17,1.0,-1.0000000000000002,0.1576831574718133,-26858.85642426117,-0.3966748118400574,-26860.260247640872,-26860.23492337658,-26859.2784233373,-26859.25309907301
7.0,-26859.863122719515,-26859.8377572438,-26858.86383540742,-1.9720582211966862,-1.9518895646510563,-0.6845271951787563,0.012678579675331758,-0.012678579675332091,-1.6653345369377348e-16,-8.326672684688674e-17,0.9999999999999999,-0.9999999999999999,0.159208661970924,-26858.83846993171,-0.39653411507606506,-26860.25965683459,-26860.234291358876,-26859.260369522497,-26859.235004046786
